country,city,食費,交通費
台湾,Taipei,623.0,325.83
韓国,Seoul,37150.0,16537.5
マカオ,Macao,194.0,75.91
フィリピン,Manila,745.0,235.0
中国,Beijing,81.67,58.08
香港,Hong-Kong,220.0,146.43
タイ,Bangkok,433.33,295.67
タイ,Chiang-Mai,303.33,365.0
ベトナム,Ho-Chi-Minh-City,233495.37,77250.0
マレーシア,Kuala-Lumpur,50.0,17.17
シンガポール,Singapore,37.58,28.57
日本,Osaka,2233.33,1940.0
