country,city,食費,交通費,為替レート,食費_円,交通費_円
台湾,Taipei,623.0,325.83,5.000150004500135,3115.093452803584,1629.1988759662788
韓国,Seoul,37150.0,16537.5,0.10762179720222072,3998.1497660624996,1779.795471231725
マカオ,Macao,194.0,75.91,19.673034172060355,3816.568629379709,1493.3800240011014
フィリピン,Manila,745.0,235.0,2.6653020320262693,1985.6500138595707,626.3459775261733
中国,Beijing,81.67,58.08,22.63621341422007,1848.699549539353,1314.7112750979015
香港,Hong-Kong,220.0,146.43,20.26260333927703,4457.772734640947,2967.053006970336
タイ,Bangkok,433.33,295.67,5.056762155192031,2191.2467447093627,1495.1328664256278
タイ,Chiang-Mai,303.33,365.0,5.056762155192031,1533.8676645343985,1845.7181866450912
ベトナム,Ho-Chi-Minh-City,233495.37,77250.0,0.006032977910293612,1408.6724093658338,466.0475435701816
マレーシア,Kuala-Lumpur,50.0,17.17,38.85456735439251,1942.7283677196253,667.1329214749194
シンガポール,Singapore,37.58,28.57,122.89541600098316,4618.409733316947,3511.122035148089
日本,Osaka,2233.33,1940.0,1.0,2233.33,1940.0
